IP,DC(UD-G), DC(DiG), DC(DiG-In), DC(DiG-Out), BC(UD-G), BC(DiG), EV(UD-G), EV(DiG), CC(UD), CC(DiG),KC(UD),KC(DiG),PR(UD),PR(DiG),HITSHUBS(DiG),HITSAUTHORITIES(DiG)
10.254.254.120,0.43,0.57,0.24,0.33,0.02,0.05,0.636363636364,0.552631578947,0.16874,0.13603,0.207501557056,0.20493262359,0.0380620456298,0.0282074182385,0.039628790015,0.0323274776236
10.254.254.103,0.48,0.67,0.29,0.38,0.0,0.0,0.65625,0.583333333333,0.19155,0.14231,0.209751043832,0.206973560994,0.0389490471763,0.0338472569157,0.0484631506996,0.0333767423001
10.1.40.42,0.1,0.1,0.05,0.05,0.0,0.0,0.525,0.368421052632,0.0359,0.01209,0.191956363652,0.195653419161,0.0136468581954,0.0102433683186,0.00756716076622,0.00344829321044
10.254.254.28,1.0,1.76,0.86,0.9,0.07,0.14,0.913043478261,0.84,0.30946,0.34716,0.230428526281,0.232414472282,0.0742699057578,0.0912468335845,0.0848698865031,0.0814179944773
10.254.254.29,0.9,1.43,0.71,0.71,0.05,0.07,0.84,0.75,0.28906,0.30203,0.226345713336,0.22615829834,0.0671775722101,0.0739767348342,0.0717342024306,0.0726013906048
10.254.254.66,0.95,1.29,0.57,0.71,0.07,0.06,0.875,0.677419354839,0.29273,0.25515,0.228268965148,0.219842031475,0.0711337662347,0.0619746185355,0.0697860954034,0.0601760821831
10.254.254.42,0.38,0.43,0.19,0.24,0.0,0.0,0.617647058824,0.512195121951,0.15692,0.09735,0.20541053134,0.202482450017,0.0325294543989,0.0232440527172,0.0292036031652,0.0221005343023
10.1.40.113,0.76,1.19,0.48,0.71,0.02,0.02,0.75,0.636363636364,0.25931,0.24796,0.220269566146,0.215883137683,0.0560114544531,0.0480522007303,0.0751832249874,0.0583931468302
10.254.254.57,0.52,0.81,0.43,0.38,0.01,0.01,0.677419354839,0.636363636364,0.19778,0.22095,0.211699670675,0.213660243908,0.0428172523238,0.0434967110392,0.0429782349921,0.0541365075755
10.254.254.138,1.1,1.86,1.0,0.86,0.16,0.21,1.0,0.954545454545,0.32105,0.36635,0.234376810035,0.238441865115,0.0837005929041,0.113605293465,0.0819306161982,0.0857072836977
10.254.254.137,0.29,0.33,0.19,0.14,0.0,0.0,0.583333333333,0.512195121951,0.11231,0.07584,0.200877490563,0.202204128251,0.0265020816404,0.0232289312658,0.021165648523,0.0173616781853
10.254.254.85,0.52,0.52,0.29,0.24,0.01,0.01,0.677419354839,0.552631578947,0.19851,0.11367,0.211719616958,0.206511624838,0.042693351061,0.029161044663,0.0288464478877,0.0291257859878
10.254.254.58,0.71,1.0,0.48,0.52,0.02,0.02,0.724137931034,0.636363636364,0.23882,0.22521,0.218026598572,0.21560269458,0.0530353712227,0.0456853965835,0.0544034539307,0.056470534857
10.254.254.74,0.43,0.57,0.33,0.24,0.0,0.0,0.6,0.567567567568,0.1403,0.16019,0.205072859594,0.209050260438,0.0330680867991,0.0385183936536,0.0286514166696,0.0367176690638
10.254.254.143,0.33,0.33,0.14,0.19,0.01,0.01,0.6,0.538461538462,0.12219,0.07525,0.202872126012,0.200342958837,0.0299002984361,0.0192250064727,0.0150269301526,0.0179355152361
10.254.254.52,0.62,0.95,0.43,0.52,0.01,0.02,0.677419354839,0.617647058824,0.21015,0.20497,0.213755544603,0.213465253181,0.0459293207612,0.0440701298643,0.0583952323908,0.049371647038
10.254.254.193,0.9,1.38,0.71,0.67,0.04,0.05,0.84,0.75,0.29339,0.30631,0.226430427875,0.226164919239,0.0664751260586,0.067456737823,0.0720431394279,0.0743391184129
10.254.254.56,0.19,0.24,0.14,0.1,0.0,0.0,0.552631578947,0.525,0.08886,0.09025,0.196731774908,0.200574239283,0.0195627716286,0.0204569863924,0.0128801524808,0.0207560615286
10.254.254.37,0.38,0.52,0.29,0.24,0.0,0.0,0.617647058824,0.583333333333,0.14388,0.15362,0.20515582844,0.207066022805,0.0330634698546,0.0309416888713,0.0251973476505,0.0378293786509
10.254.254.38,0.57,0.86,0.43,0.43,0.01,0.01,0.7,0.636363636364,0.2122,0.20563,0.213853088134,0.213446562162,0.0461213109099,0.046019400433,0.0509332762667,0.0480677443907
10.254.254.94,0.33,0.43,0.29,0.14,0.0,0.0,0.6,0.583333333333,0.13451,0.14524,0.20312566718,0.206977851656,0.0294758984605,0.033478817938,0.0213650230144,0.0334798650449
10.254.254.65,0.76,1.24,0.71,0.52,0.02,0.03,0.75,0.75,0.26238,0.31398,0.220296046073,0.226271559915,0.0558749638833,0.0738629776608,0.0597469664444,0.0748595487992
