,0,1,2,3,4
10.1.40.113,,,,,0.018673641173641002
10.1.40.42,0.0,,,,
10.254.254.103,,0.002443482443482,,,
10.254.254.120,0.016666666666666,,,,
10.254.254.137,,,,0.002312925170068,
10.254.254.138,0.162347110561396,,,,
10.254.254.143,,,,0.005088985088985001,
10.254.254.193,,,,,0.039716725073867004
10.254.254.28,,,0.072811963169106,,
10.254.254.29,,0.04882103346389,,,
10.254.254.37,,,,,0.0032312925170060003
10.254.254.38,,,,,0.011472205043633001
10.254.254.42,,0.001481481481481,,,
10.254.254.52,,0.008384353741496,,,
10.254.254.56,,,0.0,,
10.254.254.57,,0.009044011544011,,,
10.254.254.58,,,,,0.020425170068027
10.254.254.65,,0.015164570878856,,,
10.254.254.66,,,,0.065976946334089,
10.254.254.74,,,,,0.0013605442176870001
10.254.254.85,,0.008182333539476,,,
10.254.254.94,,,,,0.000680272108843
