,0,1,2,3,4
10.1.40.113,,,,,0.75
10.1.40.42,0.525,,,,
10.254.254.103,,0.65625,,,
10.254.254.120,0.636363636363636,,,,
10.254.254.137,,,,0.583333333333333,
10.254.254.138,1.0,,,,
10.254.254.143,,,,0.6000000000000001,
10.254.254.193,,,,,0.84
10.254.254.28,,,0.9130434782608691,,
10.254.254.29,,0.84,,,
10.254.254.37,,,,,0.617647058823529
10.254.254.38,,,,,0.7000000000000001
10.254.254.42,,0.617647058823529,,,
10.254.254.52,,0.6774193548387091,,,
10.254.254.56,,,0.552631578947368,,
10.254.254.57,,0.6774193548387091,,,
10.254.254.58,,,,,0.7241379310344821
10.254.254.65,,0.75,,,
10.254.254.66,,,,0.875,
10.254.254.74,,,,,0.6000000000000001
10.254.254.85,,0.6774193548387091,,,
10.254.254.94,,,,,0.6000000000000001
