,0,1,2,3,4
10.1.40.113,,,,,0.25931465898371003
10.1.40.42,0.03590126345399,,,,
10.254.254.103,,0.19155371431074,,,
10.254.254.120,0.16874173950718802,,,,
10.254.254.137,,,,0.112313722345419,
10.254.254.138,0.32105006915420403,,,,
10.254.254.143,,,,0.12218584883025702,
10.254.254.193,,,,,0.293388586987603
10.254.254.28,,,0.30946244932134603,,
10.254.254.29,,0.289056300585734,,,
10.254.254.37,,,,,0.143883323256593
10.254.254.38,,,,,0.212203920056543
10.254.254.42,,0.15691781720515502,,,
10.254.254.52,,0.21015016590113,,,
10.254.254.56,,,0.08886046407902501,,
10.254.254.57,,0.19778364156702802,,,
10.254.254.58,,,,,0.23881547800958303
10.254.254.65,,0.262384092081872,,,
10.254.254.66,,,,0.292730896841887,
10.254.254.74,,,,,0.14030085936953401
10.254.254.85,,0.19850720917616402,,,
10.254.254.94,,,,,0.134511211970336
